codename,puzzle,action,current_index,next_index,correctness,start_time,closed_time
girlsinc-2017-StormMask,sequential-g,PUZZLE,1/3/2/5/4/6/7/,1/2/3/4/6/5/7/,C/I/U/U/U/U/U/,111,125
girlsinc-2017-StormMask,sequential-g,PUZZLE,1/2/3/4/6/5/7/,1/2/3/4/5/6/7/,C/C/C/C/I/U/U/,146,160
girlsinc-2017-StormMask,sequential-g,PUZZLE,1/2/3/4/5/6/7/,1/2/3/4/5/6/7/,C/C/C/C/C/C/C/,165,180
girlsinc-2017-StormMask,sequential-g,END,"    this.blueTang.say(We can't let anyone find our treasure!) /
    this.clownFish.turnToFace(this.shark) /
    this.clownFish.think(Uh oh) /
    this.clownFish.turnToFace(this.blueTang) /
    this.clownFish.say(I think it's too late..) /
    this.shark.getMouth().turn(TypeExpression.FORWARD, 0.125) /
    this.shark.move(TypeExpression.FORWARD, 15.0) /",4,7,0,196
girlsinc-2017-StormMask,sequential-d,REFERENCE,1/2/-1/-1/-1/-1/-1/-1/,1/2/-1/-1/-1/-1/-1/-1/,C/C/I/U/U/U/U/U/,67,82
girlsinc-2017-StormMask,sequential-d,REFERENCE,1/2/-1/-1/-1/-1/-1/-1/,1/2/-1/7/6/5/3/4/,C/C/I/U/U/U/U/U/,125,130
girlsinc-2017-StormMask,sequential-d,PUZZLE,1/2/-1/7/6/5/3/4/,1/2/3/4/6/5/7/8/,C/C/I/U/U/U/U/U/,159,171
girlsinc-2017-StormMask,sequential-d,PUZZLE,1/2/3/4/6/5/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/I/U/U/U/,228,245
girlsinc-2017-StormMask,sequential-d,PUZZLE,1/2/3/4/5/6/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/C/C/,258,271
girlsinc-2017-StormMask,sequential-d,END,"    this.monkey.walk(1.5) /
    this.monkey.jump and spin() /
    this.monkey.walk up to(this.treasureChest) /
    this.monkey.raise arms() /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.0125) /
    this.monkey.bang on(this.treasureChest) /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.25) /
    this.treasureMonkey.raise arms() /",5,8,0,283
